match_id,radiant_team,rad_team_id,dire_team,dire_team_id,map_cnt,winner_side,probability,winner_predict,fact_result
6758718509,Flawless Goblins,8629005,Dragon Blood,8629014,2,dire_team,0.5276,Dragon Blood,radiant_team
6758729760,EYE-gaming,8607589,Celestials,8546012,2,dire_team,0.5643,Celestials,dire_team
6758763550,Mad Monkeys,8629318,Wiser Warriors,8629315,1,dire_team,0.5467,Wiser Warriors,radiant_team
6758758966,Army Geniuses,8261554,Xerxia,8736661,2,dire_team,0.7389,Xerxia,dire_team
6758788515,DEEP RAVAGE,8469455,Celestials,8546012,1,radiant_team,0.7228,DEEP RAVAGE,radiant_team
6758789673,EYE-gaming,8607589,Rakuzan,8794067,1,dire_team,0.8331,Rakuzan,dire_team
6758798934,goonsquad,8687717,Team Liquid,2163,1,dire_team,0.5455,Team Liquid,dire_team
6758804678,Army Geniuses,8261554,Xerxia,8736661,3,dire_team,0.7389,Xerxia,dire_team
6758815135,Wiser Warriors,8629315,Mad Monkeys,8629318,2,radiant_team,0.5008,Wiser Warriors,radiant_team
6758838144,Rakuzan,8794067,EYE-gaming,8607589,2,radiant_team,0.8431,Rakuzan,radiant_team
6758850693,Celestials,8546012,DEEP RAVAGE,8469455,2,dire_team,0.775,DEEP RAVAGE,radiant_team
6758856714,Mad Monkeys,8629318,Wiser Warriors,8629315,3,dire_team,0.5467,Wiser Warriors,radiant_team
6758865398,goonsquad,8687717,Team Liquid,2163,2,dire_team,0.5455,Team Liquid,dire_team
6758886182,Execration,8254145,Neon Esports,8360138,1,radiant_team,0.5086,Execration,radiant_team
6758897942,DEEP RAVAGE,8469455,Celestials,8546012,3,radiant_team,0.7228,DEEP RAVAGE,radiant_team
6758952184,Team Secret,1838315,Entity,8605863,1,dire_team,0.5221,Entity,dire_team
6758955183,Execration,8254145,Neon Esports,8360138,2,radiant_team,0.5086,Execration,dire_team
6758981098,OTHERS ,8799593,NINFAW,8746180,1,radiant_team,0.7173,OTHERS ,dire_team
6759027493,Team Secret,1838315,Entity,8605863,2,dire_team,0.5221,Entity,dire_team
6759054893,NINFAW,8746180,OTHERS ,8799593,2,dire_team,0.7694,OTHERS ,dire_team
6759045305,Execration,8254145,Neon Esports,8360138,3,radiant_team,0.5086,Execration,dire_team
6759130793,Nigma Galaxy,7554697,DGG Esports,8597391,1,radiant_team,0.5771,Nigma Galaxy,radiant_team
6759128426,OTHERS ,8799593,NINFAW,8746180,3,radiant_team,0.7173,OTHERS ,radiant_team
6760046826,Wojtek,8736328,CACHORROLA,5329285,1,dire_team,0.6022,CACHORROLA,radiant_team
6760062786,RSG,8668460,Xerxia,8736661,1,dire_team,0.5711,Xerxia,radiant_team
6760107112,RSG,8668460,Xerxia,8736661,2,dire_team,0.5711,Xerxia,dire_team
6760125598,Wiser Warriors,8629315,Sworn Die,8629327,1,radiant_team,0.5136,Wiser Warriors,radiant_team
6760142816,RSG,8668460,Xerxia,8736661,3,dire_team,0.5711,Xerxia,radiant_team
